Text1,Text2,Same Causal Variable,Variable Name,model Name,domain,text1_text2_cos_sim_text-embedding-3-large
Revitalization of waterfront areas,Multicultural festivals,False,,gpt-3.5-turbo,urban studies,0.287
Financial services center,Sparse residential areas,False,,gpt-3.5-turbo,urban studies,0.2
Revitalization of waterfront areas,High burglary areas,False,,gpt-3.5-turbo,urban studies,0.281
Vacuum fluctuations,Quantum chromodynamics,True,Quantum field theory,gpt-3.5-turbo,physics,0.402
Kinetic energy,Potential energy,True,Energy of motion,gpt-3.5-turbo,physics,0.668
Electric field,Magnetic field,True,Electromagnetic interactions,gpt-3.5-turbo,physics,0.698
Mechanical energy,Thermal energy,True,Energy of motion,gpt-3.5-turbo,physics,0.606
Muon,Lepton,True,Fundamental particles,gpt-3.5-turbo,physics,0.416
Heat transfer,Adiabatic expansion,True,Thermodynamic processes,gpt-3.5-turbo,physics,0.38
Resonance,Interference,True,Wave phenomena,gpt-3.5-turbo,physics,0.387
Electromagnetic radiation,Electric field,True,Electromagnetic interactions,gpt-3.5-turbo,physics,0.469
Work done,Entropy change,True,Thermodynamic processes,gpt-3.5-turbo,physics,0.283
Quantum electrodynamics,Feynman diagrams,True,Quantum field theory,gpt-3.5-turbo,physics,0.539
Entanglement,Potential energy,False,,gpt-3.5-turbo,physics,0.246
Dispersion,Magnetic field,False,,gpt-3.5-turbo,physics,0.253
Renormalization,Lepton,False,,gpt-3.5-turbo,physics,0.236
Wave-particle duality,Adiabatic expansion,False,,gpt-3.5-turbo,physics,0.175
Gluon,Quantum electrodynamics,False,,gpt-3.5-turbo,physics,0.407
Decoherence,Interference,False,,gpt-3.5-turbo,physics,0.42
Photon,Electric field,False,,gpt-3.5-turbo,physics,0.324
Kinetic energy,Entropy change,False,,gpt-3.5-turbo,physics,0.373
Potential energy,Length contraction,False,,gpt-3.5-turbo,physics,0.205
Electric field,Fusion,False,,gpt-3.5-turbo,physics,0.179
Adequately Hydrated,Thirsty,True,Hydration Status,gpt-3.5-turbo,health,0.478
Teetotaler,Social Drinker,True,Alcohol Consumption,gpt-3.5-turbo,health,0.441
Dehydrated,Over-hydrated,True,Hydration Status,gpt-3.5-turbo,health,0.661
Heavy Drinker,Teetotaler,True,Alcohol Consumption,gpt-3.5-turbo,health,0.461
Regular Gym Goer,Yoga Practitioner,True,Physical Activity Level,gpt-3.5-turbo,health,0.424
Vegan,Mediterranean,True,Dietary Preference,gpt-3.5-turbo,health,0.348
Friendship Circle,Family-Centric,True,Social Support,gpt-3.5-turbo,health,0.408
Tanned,Sunscreen User,True,Sun Exposure,gpt-3.5-turbo,health,0.421
Paleo,Fast Food Lover,True,Dietary Preference,gpt-3.5-turbo,health,0.287
Insomniac,Napper,True,Sleep Quality,gpt-3.5-turbo,health,0.387
Screen Addict,Thirsty,False,,gpt-3.5-turbo,health,0.249
Chain Smoker,Social Drinker,False,,gpt-3.5-turbo,health,0.356
Tanned,Adequately Hydrated,False,,gpt-3.5-turbo,health,0.3
Exercise,Over-hydrated,False,,gpt-3.5-turbo,health,0.188
Insomniac,Teetotaler,False,,gpt-3.5-turbo,health,0.271
Limited User,Yoga Practitioner,False,,gpt-3.5-turbo,health,0.301
Meditation,Mediterranean,False,,gpt-3.5-turbo,health,0.447
Screen Addict,Dehydrated,False,,gpt-3.5-turbo,health,0.2
Tech Detoxer,Family-Centric,False,,gpt-3.5-turbo,health,0.189
Marathon Runner,Friendship Circle,False,,gpt-3.5-turbo,health,0.171
Temperature Mapping,Stable Temperature,True,Temperature Control,gpt-3.5-turbo,semiconductor manufacturing,0.472
Reworked Wafers,Defect-Free Wafers,True,Process Yield,gpt-3.5-turbo,semiconductor manufacturing,0.567
Scheduled Maintenance,Continuous Operation,True,Equipment Utilization,gpt-3.5-turbo,semiconductor manufacturing,0.428
Continuous Operation,Tool Calibration,True,Equipment Utilization,gpt-3.5-turbo,semiconductor manufacturing,0.275
Under Etching,Uniform Etching,True,Etch Rate,gpt-3.5-turbo,semiconductor manufacturing,0.686
Scrapped Wafers,Reworked Wafers,True,Process Yield,gpt-3.5-turbo,semiconductor manufacturing,0.781
Flat Wafers,Convex Wafers,True,Wafer Bow,gpt-3.5-turbo,semiconductor manufacturing,0.721
Chemical Contamination,Particle Contamination,True,Cleanroom Contamination,gpt-3.5-turbo,semiconductor manufacturing,0.678
Flat Wafers,Concave Wafers,True,Wafer Bow,gpt-3.5-turbo,semiconductor manufacturing,0.764
Over Etching,Uniform Etching,True,Etch Rate,gpt-3.5-turbo,semiconductor manufacturing,0.653
Uniform Etching,Stable Temperature,False,,gpt-3.5-turbo,semiconductor manufacturing,0.248
Particle Contamination,Defect-Free Wafers,False,,gpt-3.5-turbo,semiconductor manufacturing,0.354
Flat Wafers,Continuous Operation,False,,gpt-3.5-turbo,semiconductor manufacturing,0.203
Over-Dose,Edge Exclusion,False,,gpt-3.5-turbo,semiconductor manufacturing,0.197
Scrapped Wafers,Uniform Etching,False,,gpt-3.5-turbo,semiconductor manufacturing,0.295
Defect-Free Wafers,Over Etching,False,,gpt-3.5-turbo,semiconductor manufacturing,0.319
Over-Dose,Strong Adhesion,False,,gpt-3.5-turbo,semiconductor manufacturing,0.15
Stable Temperature,Reworked Wafers,False,,gpt-3.5-turbo,semiconductor manufacturing,0.165
Temperature Mapping,Convex Wafers,False,,gpt-3.5-turbo,semiconductor manufacturing,0.184
Thickness Variability,Particle Contamination,False,,gpt-3.5-turbo,semiconductor manufacturing,0.263
Logarithmic Time,Linear Time,True,Algorithm Complexity,gpt-3.5-turbo,computer science,0.686
Key-Value,NoSQL,True,Database Model,gpt-3.5-turbo,computer science,0.384
Ransomware,Social Engineering,True,Cybersecurity Threat,gpt-3.5-turbo,computer science,0.211
Scrum,Agile,True,Software Development Methodology,gpt-3.5-turbo,computer science,0.601
Agile,DevOps,True,Software Development Methodology,gpt-3.5-turbo,computer science,0.459
Real-Time,Distributed,True,Operating System,gpt-3.5-turbo,computer science,0.378
Queue,Tree,True,Data Structure,gpt-3.5-turbo,computer science,0.367
Distributed,Embedded,True,Operating System,gpt-3.5-turbo,computer science,0.308
FaaS,DaaS,True,Cloud Computing Service Model,gpt-3.5-turbo,computer science,0.5
DaaS,PaaS,True,Cloud Computing Service Model,gpt-3.5-turbo,computer science,0.506
UDP,NoSQL,False,,gpt-3.5-turbo,computer science,0.229
Embedded,Social Engineering,False,,gpt-3.5-turbo,computer science,0.24
Functional,Agile,False,,gpt-3.5-turbo,computer science,0.328
Constant Time,DevOps,False,,gpt-3.5-turbo,computer science,0.228
Linked List,Distributed,False,,gpt-3.5-turbo,computer science,0.232
Malware,Scripting,False,,gpt-3.5-turbo,computer science,0.269
TCP/IP,Tree,False,,gpt-3.5-turbo,computer science,0.205
SMTP,Embedded,False,,gpt-3.5-turbo,computer science,0.251
Compiled,DaaS,False,,gpt-3.5-turbo,computer science,0.199
Linked List,Real-Time,False,,gpt-3.5-turbo,computer science,0.191
Centrist,Libertarian,True,Political Ideology,gpt-3.5-turbo,sociology,0.471
Trade school graduate,Bachelor's degree recipient,True,Educational Attainment,gpt-3.5-turbo,sociology,0.491
Socialist,Centrist,True,Political Ideology,gpt-3.5-turbo,sociology,0.441
Transgender woman,Genderqueer person,True,Gender Identity,gpt-3.5-turbo,sociology,0.543
Married,Divorced,True,Marital Status,gpt-3.5-turbo,sociology,0.652
Bachelor's degree recipient,Ph.D. holder,True,Educational Attainment,gpt-3.5-turbo,sociology,0.535
Devout Catholic,Practicing Muslim,True,Religious Affiliation,gpt-3.5-turbo,sociology,0.505
Genderfluid individual,Cisgender man,True,Gender Identity,gpt-3.5-turbo,sociology,0.478
Blended family,Single-parent household,True,Family Structure,gpt-3.5-turbo,sociology,0.475
Single-parent household,Nuclear family,True,Family Structure,gpt-3.5-turbo,sociology,0.54
Genderfluid individual,Artist,False,,gpt-3.5-turbo,sociology,0.277
Blended family,Libertarian,False,,gpt-3.5-turbo,sociology,0.125
Never married,Bachelor's degree recipient,False,,gpt-3.5-turbo,sociology,0.315
Anarchist,Green card holder,False,,gpt-3.5-turbo,sociology,0.182
Wealthy entrepreneur,Genderqueer person,False,,gpt-3.5-turbo,sociology,0.144
Undocumented immigrant,Ph.D. holder,False,,gpt-3.5-turbo,sociology,0.194
Cisgender man,Practicing Muslim,False,,gpt-3.5-turbo,sociology,0.277
Centrist,Cisgender man,False,,gpt-3.5-turbo,sociology,0.278
Divorced,Single-parent household,False,,gpt-3.5-turbo,sociology,0.431
Bachelor's degree recipient,Nuclear family,False,,gpt-3.5-turbo,sociology,0.156
Listening Ear from Family,Encouragement from Friends,True,Social Support,gpt-3.5-turbo,psychology,0.439
Awareness of Own Emotions,Empathy towards Others,True,Emotional Intelligence,gpt-3.5-turbo,psychology,0.515
Mindfulness and Meditation,Problem-Solving Approaches,True,Stress Coping Strategies,gpt-3.5-turbo,psychology,0.233
Empathy towards Others,Regulation of Emotional Responses,True,Emotional Intelligence,gpt-3.5-turbo,psychology,0.362
Thirst for Knowledge,Desire for Achievement,True,Motivation,gpt-3.5-turbo,psychology,0.408
Shared Values and Goals,Communication and Understanding,True,Interpersonal Relationships,gpt-3.5-turbo,psychology,0.418
Regulation of Emotional Responses,Recognition of Emotional Cues,True,Emotional Intelligence,gpt-3.5-turbo,psychology,0.574
Passion for Learning,Intrinsic Drive for Personal Growth,True,Motivation,gpt-3.5-turbo,psychology,0.436
Help with Tasks from Colleagues,Companionship from Pets,True,Social Support,gpt-3.5-turbo,psychology,0.206
Empathy and Compassion,Conflict Resolution Skills,True,Interpersonal Relationships,gpt-3.5-turbo,psychology,0.29
Confidence in Problem-Solving,Encouragement from Friends,False,,gpt-3.5-turbo,psychology,0.3
Mindfulness and Meditation,Empathy towards Others,False,,gpt-3.5-turbo,psychology,0.325
Excitement and Anticipation,Encouragement from Friends,False,,gpt-3.5-turbo,psychology,0.327
Recognition of Emotional Cues,Problem-Solving Approaches,False,,gpt-3.5-turbo,psychology,0.266
Autonomy in Decision-Making,Empathy towards Others,False,,gpt-3.5-turbo,psychology,0.278
Common Humanity Recognition,Regulation of Emotional Responses,False,,gpt-3.5-turbo,psychology,0.22
Non-judgmental Self-Understanding,Desire for Achievement,False,,gpt-3.5-turbo,psychology,0.276
Problem-Solving Approaches,Communication and Understanding,False,,gpt-3.5-turbo,psychology,0.278
Mindfulness and Meditation,Recognition of Emotional Cues,False,,gpt-3.5-turbo,psychology,0.258
Common Humanity Recognition,Intrinsic Drive for Personal Growth,False,,gpt-3.5-turbo,psychology,0.25
Central Bank Policy Changes,Inflation Concerns,True,Interest Rate Expectations,gpt-3.5-turbo,finance,0.413
Military Conflicts,Trade Disputes,True,Global Geopolitical Events,gpt-3.5-turbo,finance,0.369
New Legislation Implementation,Industry Oversight Modifications,True,Regulatory Changes,gpt-3.5-turbo,finance,0.478
Demand-Supply Imbalances,Weather-Related Effects,True,Commodity Price Movements,gpt-3.5-turbo,finance,0.336
Increased Trading Volume,Uncertainty in Investor Sentiment,True,Market Volatility,gpt-3.5-turbo,finance,0.369
Increased Trading Volume,Sudden Price Swings,True,Market Volatility,gpt-3.5-turbo,finance,0.487
Automation and AI Integration,Blockchain Applications Development,True,Technological Innovations,gpt-3.5-turbo,finance,0.319
Weather-Related Effects,Supply Chain Disruptions,True,Commodity Price Movements,gpt-3.5-turbo,finance,0.344
Luxury Goods Demand Shifts,Online Shopping Growth,True,Consumer Spending Trends,gpt-3.5-turbo,finance,0.366
Economic Growth Projections,Inflation Concerns,True,Interest Rate Expectations,gpt-3.5-turbo,finance,0.379
Supply Chain Disruptions,Inflation Concerns,False,,gpt-3.5-turbo,finance,0.353
Foreign Exchange Market Fluctuations,Central Bank Policy Changes,False,,gpt-3.5-turbo,finance,0.527
Trade Balance Impact,Trade Disputes,False,,gpt-3.5-turbo,finance,0.438
Interest Rate Differentials,Industry Oversight Modifications,False,,gpt-3.5-turbo,finance,0.24
Natural Disasters,Weather-Related Effects,False,,gpt-3.5-turbo,finance,0.432
Military Conflicts,Uncertainty in Investor Sentiment,False,,gpt-3.5-turbo,finance,0.106
Profit Margin Expansion,Trade Disputes,False,,gpt-3.5-turbo,finance,0.214
Trade Balance Impact,Sudden Price Swings,False,,gpt-3.5-turbo,finance,0.323
Retail Industry Performance,Inflation Concerns,False,,gpt-3.5-turbo,finance,0.272
Supply Chain Disruptions,Blockchain Applications Development,False,,gpt-3.5-turbo,finance,0.257
technology sector hubs,tourism and hospitality centers,True,Primary economic activity,gpt-4-turbo,urban studies,0.43
vandalism and graffiti,street muggings,True,Prevalent public safety issues,gpt-4-turbo,urban studies,0.345
rooftop gardens,sparse vegetation areas,True,Level of urban greenery,gpt-4-turbo,urban studies,0.327
sparse vegetation areas,lush botanical gardens,True,Level of urban greenery,gpt-4-turbo,urban studies,0.349
gated communities,downtown lofts,True,Type of residential areas,gpt-4-turbo,urban studies,0.273
rural homesteads,downtown lofts,True,Type of residential areas,gpt-4-turbo,urban studies,0.321
traffic accidents,organized crime activities,True,Prevalent public safety issues,gpt-4-turbo,urban studies,0.309
urban skate parks,sports complexes,True,Common recreational facilities,gpt-4-turbo,urban studies,0.452
industrial manufacturing zones,technology sector hubs,True,Primary economic activity,gpt-4-turbo,urban studies,0.399
bicycle-friendly streets,pedestrian-only zones,True,Dominant transportation mode,gpt-4-turbo,urban studies,0.498
public parks and gardens,tourism and hospitality centers,False,,gpt-4-turbo,urban studies,0.379
urban skate parks,financial districts,False,,gpt-4-turbo,urban studies,0.26
cold tundra zones,street muggings,False,,gpt-4-turbo,urban studies,0.115
car-dependent highways,sparse vegetation areas,False,,gpt-4-turbo,urban studies,0.251
administrative districts,temperate weather regions,False,,gpt-4-turbo,urban studies,0.236
multicultural communities,lush botanical gardens,False,,gpt-4-turbo,urban studies,0.187
mountain hiking trails,downtown lofts,False,,gpt-4-turbo,urban studies,0.197
arid desert climates,sports complexes,False,,gpt-4-turbo,urban studies,0.222
expatriate zones,downtown lofts,False,,gpt-4-turbo,urban studies,0.204
downtown lofts,organized crime activities,False,,gpt-4-turbo,urban studies,0.144
belt drive,hydraulic arm,True,Type of mechanical linkage,gpt-4-turbo,physics,0.32
LED light,fluorescent lamp,True,Source of illumination,gpt-4-turbo,physics,0.503
radiation from the sun,convection by air movement,True,Method of heat transfer,gpt-4-turbo,physics,0.303
hydraulic arm,gear train,True,Type of mechanical linkage,gpt-4-turbo,physics,0.364
aluminum fins,copper tubing,True,Material used in a heat conductor,gpt-4-turbo,physics,0.439
gaseous steam,solid ice,True,State of matter,gpt-4-turbo,physics,0.367
compressed air tank,flywheel energy storage,True,Form of energy storage,gpt-4-turbo,physics,0.333
gravitational pull,centrifugal force,True,Type of force,gpt-4-turbo,physics,0.504
capacitor,resistor,True,Electrical component,gpt-4-turbo,physics,0.584
liquid water,gaseous steam,True,State of matter,gpt-4-turbo,physics,0.438
fluorescent lamp,concave lens,False,,gpt-4-turbo,physics,0.324
resistor,hydraulic arm,False,,gpt-4-turbo,physics,0.176
electromagnetic force,inductor,False,,gpt-4-turbo,physics,0.272
centrifugal force,fluorescent lamp,False,,gpt-4-turbo,physics,0.233
gear train,convection by air movement,False,,gpt-4-turbo,physics,0.196
radiation from the sun,LED light,False,,gpt-4-turbo,physics,0.212
capacitor,solid ice,False,,gpt-4-turbo,physics,0.192
gaseous steam,light wave,False,,gpt-4-turbo,physics,0.229
flywheel energy storage,gear train,False,,gpt-4-turbo,physics,0.368
flywheel energy storage,gravitational pull,False,,gpt-4-turbo,physics,0.232
Emergency hospital visits,Lack of medical services,True,Healthcare access quality,gpt-4-turbo,health,0.421
Recreational drug use,Prescription medication usage,True,Substance use,gpt-4-turbo,health,0.484
Regular doctor checkups,Annual health screenings,True,Healthcare access quality,gpt-4-turbo,health,0.621
Early morning awakenings,Daytime naps,True,Sleep pattern,gpt-4-turbo,health,0.499
Urban air pollution,Rural clean air,True,Exposure to pollutants,gpt-4-turbo,health,0.557
Recreational drug use,Alcohol consumption,True,Substance use,gpt-4-turbo,health,0.455
Early morning awakenings,Nightly eight-hour sleep,True,Sleep pattern,gpt-4-turbo,health,0.435
Vegan dishes,Dairy-rich diet,True,Type of dietary intake,gpt-4-turbo,health,0.353
Home air filtration usage,Urban air pollution,True,Exposure to pollutants,gpt-4-turbo,health,0.401
Occasional documentary watching,Rare intellectual discussions,True,Mental stimulation level,gpt-4-turbo,health,0.352
Vegan dishes,Daily exercise sessions,False,,gpt-4-turbo,health,0.188
Monthly community events,Alcohol consumption,False,,gpt-4-turbo,health,0.196
Rare intellectual discussions,Daytime naps,False,,gpt-4-turbo,health,0.194
Stressful work deadlines,Isolated living,False,,gpt-4-turbo,health,0.218
Nightly eight-hour sleep,Occasional soda consumption,False,,gpt-4-turbo,health,0.25
Vegan dishes,Rural clean air,False,,gpt-4-turbo,health,0.134
Yearly marathon participation,Alcohol consumption,False,,gpt-4-turbo,health,0.277
Vegetarian meals,Nightly eight-hour sleep,False,,gpt-4-turbo,health,0.152
Stressful work deadlines,Dairy-rich diet,False,,gpt-4-turbo,health,0.205
Weekly gym visits,Urban air pollution,False,,gpt-4-turbo,health,0.162
high energy implantation,ultra-high energy implantation,True,Implantation Energy Level,gpt-4-turbo,semiconductor manufacturing,0.879
controlled humidity environment,particle-free air,True,Clean Room Environment,gpt-4-turbo,semiconductor manufacturing,0.385
reactive ion etching,wet etching,True,Etching Process Type,gpt-4-turbo,semiconductor manufacturing,0.62
mechanical polishing,electrolytic polishing,True,Wafer Polishing Method,gpt-4-turbo,semiconductor manufacturing,0.666
temperature-controlled setting,particle-free air,True,Clean Room Environment,gpt-4-turbo,semiconductor manufacturing,0.337
dry etching,wet etching,True,Etching Process Type,gpt-4-turbo,semiconductor manufacturing,0.763
flame polishing,mechanical polishing,True,Wafer Polishing Method,gpt-4-turbo,semiconductor manufacturing,0.596
mechanical polishing,chemical mechanical polishing,True,Wafer Polishing Method,gpt-4-turbo,semiconductor manufacturing,0.808
wet etching,plasma etching,True,Etching Process Type,gpt-4-turbo,semiconductor manufacturing,0.666
high energy implantation,medium energy implantation,True,Implantation Energy Level,gpt-4-turbo,semiconductor manufacturing,0.862
vibration-free setup,complex circuits,False,,gpt-4-turbo,semiconductor manufacturing,0.234
reactive ion etching,particle-free air,False,,gpt-4-turbo,semiconductor manufacturing,0.29
chemical vapor deposition,wet etching,False,,gpt-4-turbo,semiconductor manufacturing,0.425
medium energy implantation,particle-free air,False,,gpt-4-turbo,semiconductor manufacturing,0.283
antimony doping,wet etching,False,,gpt-4-turbo,semiconductor manufacturing,0.334
plasma etching,mechanical polishing,False,,gpt-4-turbo,semiconductor manufacturing,0.4
simple circuits,ozone,False,,gpt-4-turbo,semiconductor manufacturing,0.162
perfect alignment,chemical mechanical polishing,False,,gpt-4-turbo,semiconductor manufacturing,0.239
particle-free air,smooth surface,False,,gpt-4-turbo,semiconductor manufacturing,0.386
electrolytic polishing,plasma etching,False,,gpt-4-turbo,semiconductor manufacturing,0.503
Ransomware attacks,SQL injection,True,Cybersecurity Threat,gpt-4-turbo,computer science,0.302
Linux distributions,Android versions,True,Operating System,gpt-4-turbo,computer science,0.373
Ransomware attacks,Cross-site scripting,True,Cybersecurity Threat,gpt-4-turbo,computer science,0.315
Functional programming languages,Procedural languages,True,Programming Language,gpt-4-turbo,computer science,0.502
Phishing schemes,Cross-site scripting,True,Cybersecurity Threat,gpt-4-turbo,computer science,0.367
Cross-site scripting,Denial-of-service attacks,True,Cybersecurity Threat,gpt-4-turbo,computer science,0.381
Random access memory modules,Central processing units,True,Hardware Component,gpt-4-turbo,computer science,0.35
Internet Protocol,Simple Mail Transfer Protocol,True,Network Protocol,gpt-4-turbo,computer science,0.484
Function as a Service,Desktop as a Service,True,Cloud Computing Service,gpt-4-turbo,computer science,0.492
Simple Mail Transfer Protocol,File Transfer Protocol,True,Network Protocol,gpt-4-turbo,computer science,0.648
SQL injection,Android versions,False,,gpt-4-turbo,computer science,0.163
File Transfer Protocol,Cross-site scripting,False,,gpt-4-turbo,computer science,0.229
Wearable health monitors,Procedural languages,False,,gpt-4-turbo,computer science,0.087
Solid state drives,Cross-site scripting,False,,gpt-4-turbo,computer science,0.173
Graphics processing units,Denial-of-service attacks,False,,gpt-4-turbo,computer science,0.198
Agile development practices,Central processing units,False,,gpt-4-turbo,computer science,0.154
Ransomware attacks,Random access memory modules,False,,gpt-4-turbo,computer science,0.237
Infrastructure as a Service,Simple Mail Transfer Protocol,False,,gpt-4-turbo,computer science,0.247
Scripting languages,Desktop as a Service,False,,gpt-4-turbo,computer science,0.199
Distributed databases,File Transfer Protocol,False,,gpt-4-turbo,computer science,0.173
middle class,working class,True,Social class,gpt-4-turbo,sociology,0.701
television viewers,radio listeners,True,Media consumption,gpt-4-turbo,sociology,0.601
non-partisan citizens,liberal advocates,True,Political orientation,gpt-4-turbo,sociology,0.46
postgraduate qualifications,primary school completion,True,Educational attainment,gpt-4-turbo,sociology,0.378
radio listeners,online content browsers,True,Media consumption,gpt-4-turbo,sociology,0.277
alternative medicine followers,public healthcare users,True,Healthcare access,gpt-4-turbo,sociology,0.356
educational services,retail business,True,Employment sector,gpt-4-turbo,sociology,0.275
university degree,postgraduate qualifications,True,Educational attainment,gpt-4-turbo,sociology,0.575
private clinic visitors,no regular healthcare,True,Healthcare access,gpt-4-turbo,sociology,0.436
Christianity followers,Buddhism practitioners,True,Religious affiliation,gpt-4-turbo,sociology,0.429
Buddhism practitioners,working class,False,,gpt-4-turbo,sociology,0.135
working class,radio listeners,False,,gpt-4-turbo,sociology,0.217
urban neighborhoods,liberal advocates,False,,gpt-4-turbo,sociology,0.247
print media readers,manufacturing sector,False,,gpt-4-turbo,sociology,0.176
conservative supporters,primary school completion,False,,gpt-4-turbo,sociology,0.155
university degree,urban neighborhoods,False,,gpt-4-turbo,sociology,0.235
non-partisan citizens,public healthcare users,False,,gpt-4-turbo,sociology,0.337
private clinic visitors,secondary school graduation,False,,gpt-4-turbo,sociology,0.168
no regular healthcare,retail business,False,,gpt-4-turbo,sociology,0.17
working class,postgraduate qualifications,False,,gpt-4-turbo,sociology,0.086
peer group interactions,community involvement,True,Social Support,gpt-4-turbo,psychology,0.375
permissive upbringing,authoritarian control,True,Parenting Style,gpt-4-turbo,psychology,0.329
compromise,dominance assertion,True,Conflict Resolution Strategy,gpt-4-turbo,psychology,0.253
medication,psychoanalysis,True,Therapeutic Intervention,gpt-4-turbo,psychology,0.283
neuroticism,openness to experience,True,Personality Trait,gpt-4-turbo,psychology,0.488
compromise,collaborative problem solving,True,Conflict Resolution Strategy,gpt-4-turbo,psychology,0.318
community involvement,professional assistance,True,Social Support,gpt-4-turbo,psychology,0.347
power-driven,achievement-driven,True,Motivation Type,gpt-4-turbo,psychology,0.429
emotional support seeking,substance use,True,Coping Mechanism,gpt-4-turbo,psychology,0.306
family cohesion,professional assistance,True,Social Support,gpt-4-turbo,psychology,0.192
doctoral degree,community involvement,False,,gpt-4-turbo,psychology,0.163
psychoanalysis,authoritarian control,False,,gpt-4-turbo,psychology,0.218
job loss,psychoanalysis,False,,gpt-4-turbo,psychology,0.156
group therapy,doctoral degree,False,,gpt-4-turbo,psychology,0.184
death of a loved one,withdrawal,False,,gpt-4-turbo,psychology,0.251
conscientiousness,collaborative problem solving,False,,gpt-4-turbo,psychology,0.239
withdrawal,professional assistance,False,,gpt-4-turbo,psychology,0.258
neglectful supervision,achievement-driven,False,,gpt-4-turbo,psychology,0.186
neuroticism,substance use,False,,gpt-4-turbo,psychology,0.256
extrinsic motivation,professional assistance,False,,gpt-4-turbo,psychology,0.226
stable interest rate period,central bank rate hikes,True,Interest Rate Environment,gpt-4-turbo,finance,0.455
increasing unemployment rates,job market strength,True,Economic Indicators,gpt-4-turbo,finance,0.411
growth in sustainable investments,interest in emerging markets,True,Investment Trends,gpt-4-turbo,finance,0.464
rise in real estate investments,interest in emerging markets,True,Investment Trends,gpt-4-turbo,finance,0.466
changes in tax laws,new compliance requirements,True,Regulatory Changes,gpt-4-turbo,finance,0.399
tighter financial regulations,changes in tax laws,True,Regulatory Changes,gpt-4-turbo,finance,0.391
growth in ethical consumerism,trend towards personalized services,True,Consumer Behavior,gpt-4-turbo,finance,0.361
record profit announcements,significant earnings drop,True,Corporate Earnings,gpt-4-turbo,finance,0.47
rise in real estate investments,shift towards value stocks,True,Investment Trends,gpt-4-turbo,finance,0.415
advancements in cybersecurity,development of fintech solutions,True,Technological Advancements,gpt-4-turbo,finance,0.358
election year uncertainties,central bank rate hikes,False,,gpt-4-turbo,finance,0.265
reform in stock market rules,job market strength,False,,gpt-4-turbo,finance,0.261
market optimism,interest in emerging markets,False,,gpt-4-turbo,finance,0.414
market pessimism,new compliance requirements,False,,gpt-4-turbo,finance,0.147
strengthening of international relations,changes in tax laws,False,,gpt-4-turbo,finance,0.2
development of fintech solutions,stable interest rate period,False,,gpt-4-turbo,finance,0.196
political unrest in a region,significant earnings drop,False,,gpt-4-turbo,finance,0.165
earnings beat expectations,shift towards value stocks,False,,gpt-4-turbo,finance,0.331
growth in ethical consumerism,development of fintech solutions,False,,gpt-4-turbo,finance,0.232
declining interest rate trend,recessionary period,False,,gpt-4-turbo,finance,0.462
Commercial,Institutional,True,Land Use,llama3-8b,urban studies,0.434
Loud,Moderate,True,Noise Level,llama3-8b,urban studies,0.34
Very Poor,Good,True,Air Quality,llama3-8b,urban studies,0.335
Industrial,Open Space,True,Land Use,llama3-8b,urban studies,0.29
Extremely Low,Medium,True,Community Engagement,llama3-8b,urban studies,0.381
Residential Street,Freeway,True,Street Type,llama3-8b,urban studies,0.378
Residential,Institutional,True,Land Use,llama3-8b,urban studies,0.416
Extremely Low,High,True,Community Engagement,llama3-8b,urban studies,0.392
Residential Zoning,Industrial Zoning,True,Zoning,llama3-8b,urban studies,0.607
Garden,Nature Reserve,True,Green Space,llama3-8b,urban studies,0.33
Low,Institutional,False,,llama3-8b,urban studies,0.244
Car,Moderate,False,,llama3-8b,urban studies,0.204
Apartment Building,Good,False,,llama3-8b,urban studies,0.179
Public Transportation,Very Low,False,,llama3-8b,urban studies,0.23
Arterial Road,Institutional,False,,llama3-8b,urban studies,0.172
Residential Street,Open Space,False,,llama3-8b,urban studies,0.394
Greenway,Medium,False,,llama3-8b,urban studies,0.254
Commercial Zoning,Freeway,False,,llama3-8b,urban studies,0.236
Extremely Loud,Institutional,False,,llama3-8b,urban studies,0.163
Fair,High,False,,llama3-8b,urban studies,0.419
Four-Dimensional Space,One-Dimensional Space,True,Space,llama3-8b,physics,0.594
Thermal Energy,Potential Energy,True,Energy,llama3-8b,physics,0.546
Gamma Frequency,Visible Frequency,True,Frequency,llama3-8b,physics,0.464
Absolute Time,Relative Time,True,Time,llama3-8b,physics,0.592
Room Temperature,Freezing Point,True,Temperature,llama3-8b,physics,0.445
Gamma Frequency,Audio Frequency,True,Frequency,llama3-8b,physics,0.378
Vacuum Pressure,Standard Pressure,True,Pressure,llama3-8b,physics,0.647
Negative Charge,Positive Charge,True,Charge,llama3-8b,physics,0.815
Electromagnetic Energy,Thermal Energy,True,Energy,llama3-8b,physics,0.559
Strong Nuclear Force,Gravity,True,Force,llama3-8b,physics,0.273
Thermal Energy,One-Dimensional Space,False,,llama3-8b,physics,0.232
Visible Frequency,Melting Point,False,,llama3-8b,physics,0.25
Melting Point,Thermal Energy,False,,llama3-8b,physics,0.349
Visible Frequency,One-Dimensional Space,False,,llama3-8b,physics,0.249
Elapsed Time,Potential Energy,False,,llama3-8b,physics,0.331
Vacuum Pressure,Visible Frequency,False,,llama3-8b,physics,0.263
One-Dimensional Space,Relative Time,False,,llama3-8b,physics,0.242
One-Dimensional Space,Freezing Point,False,,llama3-8b,physics,0.186
Elapsed Time,Audio Frequency,False,,llama3-8b,physics,0.247
